Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0xc59627fb
SPS30 serial number: 9BC4514C922B18F5
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:28:32;2.115201712e+00;2.786062241e+00;3.230635405e+00;3.319547415e+00;1.347566891e+01;1.626044655e+01;1.684544182e+01;1.695761681e+01;1.697702980e+01;7.842981219e-01;1.349678853e+01;9.554178855e+04;2.475377095e+01
2021-03-15T10:33:31;1.569789529e+00;1.659993649e+00;1.659992576e+00;1.659992576e+00;1.084980297e+01;1.248682976e+01;1.252824879e+01;1.253343105e+01;1.253651047e+01;4.836837053e-01;1.225693790e+01;9.553218451e+04;2.501866137e+01
2021-03-15T10:38:31;9.488735795e-01;1.003398299e+00;1.003397703e+00;1.003397703e+00;6.558262348e+00;7.547778130e+00;7.572813988e+00;7.575946808e+00;7.577807903e+00;4.152618647e-01;1.121906388e+01;9.552652174e+04;2.634108111e+01
2021-03-15T10:43:31;1.531719208e+00;2.059773922e+00;2.415905476e+00;2.487131596e+00;9.670397758e+00;1.173152256e+01;1.219585133e+01;1.228517151e+01;1.230040550e+01;7.378141880e-01;1.062286430e+01;9.551482166e+04;2.543997795e+01
2021-03-15T10:48:31;1.668024182e+00;2.057326317e+00;2.294822931e+00;2.342322826e+00;1.091771698e+01;1.296648502e+01;1.329319477e+01;1.335489559e+01;1.336632252e+01;6.483869553e-01;1.002311982e+01;9.551813402e+04;2.821220574e+01
2021-03-15T10:53:31;1.777957439e+00;2.300061226e+00;2.639923096e+00;2.707896471e+00;1.141416264e+01;1.371088696e+01;1.416234589e+01;1.424863148e+01;1.426378822e+01;5.900545120e-01;9.802450976e+00;9.551568214e+04;2.877485931e+01
2021-03-15T10:58:31;1.329606414e+00;1.549418688e+00;1.665482879e+00;1.688695192e+00;8.891128540e+00;1.042883778e+01;1.060207462e+01;1.063392639e+01;1.064052010e+01;6.582186222e-01;9.644369821e+00;9.551478874e+04;3.112088419e+01
2021-03-15T11:03:31;1.415198684e+00;1.934707403e+00;2.289342165e+00;2.360268831e+00;8.868903160e+00;1.080656719e+01;1.126603794e+01;1.135462093e+01;1.136957455e+01;6.357824206e-01;9.618883292e+00;9.550987524e+04;3.112715936e+01
2021-03-15T11:08:31;2.043355942e+00;2.240951300e+00;2.305839777e+00;2.318816900e+00;1.395596504e+01;1.617134857e+01;1.630250359e+01;1.632460403e+01;1.633083916e+01;5.669437647e-01;9.519840776e+00;9.550124570e+04;3.034095932e+01
2021-03-15T11:13:31;1.389818788e+00;1.469681382e+00;1.469680429e+00;1.469680429e+00;9.605911255e+00;1.105525970e+01;1.109192944e+01;1.109651756e+01;1.109924412e+01;4.867845774e-01;9.132382318e+00;9.550278801e+04;2.848980348e+01
2021-03-15T11:18:31;1.413369060e+00;1.494584918e+00;1.494583964e+00;1.494583964e+00;9.768682480e+00;1.124258900e+01;1.127988052e+01;1.128454685e+01;1.128731918e+01;5.341347456e-01;8.778477066e+00;9.550412141e+04;2.887473649e+01
2021-03-15T11:23:31;1.495090008e+00;1.581001759e+00;1.581000805e+00;1.581000805e+00;1.033350754e+01;1.189263630e+01;1.193208408e+01;1.193701935e+01;1.193995190e+01;5.405726433e-01;8.512645762e+00;9.550979149e+04;2.977164994e+01
2021-03-15T11:28:31;1.549164534e+00;1.874923229e+00;2.066520452e+00;2.104841232e+00;1.021429348e+01;1.207933617e+01;1.234827614e+01;1.239872456e+01;1.240834141e+01;6.229035854e-01;8.446833277e+00;9.551723470e+04;2.974993599e+01
2021-03-15T11:33:31;1.276284933e+00;1.510073304e+00;1.639927626e+00;1.665898919e+00;8.487108231e+00;9.987173080e+00;1.017541885e+01;1.021035671e+01;1.021731949e+01;6.486985087e-01;8.262945702e+00;9.550937754e+04;2.936664798e+01
2021-03-15T11:38:31;1.589270353e+00;1.891932368e+00;2.062971830e+00;2.097179413e+00;1.054438496e+01;1.242447662e+01;1.267000389e+01;1.271572018e+01;1.272471046e+01;5.555144548e-01;8.189390775e+00;9.550898980e+04;2.982479740e+01
2021-03-15T11:43:31;1.615821719e+00;1.708670974e+00;1.708669901e+00;1.708669901e+00;1.116796017e+01;1.285299110e+01;1.289562416e+01;1.290095901e+01;1.290412807e+01;5.342009068e-01;8.115190690e+00;9.550528266e+04;3.147247276e+01
2021-03-15T11:48:31;1.692058206e+00;2.299502611e+00;2.712429047e+00;2.795014381e+00;1.063247681e+01;1.293477345e+01;1.347093582e+01;1.357422447e+01;1.359172344e+01;6.450199485e-01;8.365858177e+00;9.550750399e+04;2.959559208e+01
2021-03-15T11:53:31;1.611479521e+00;1.704079270e+00;1.704078078e+00;1.704078078e+00;1.113794804e+01;1.281845093e+01;1.286096954e+01;1.286629009e+01;1.286945057e+01;5.291187763e-01;8.464576835e+00;9.550496292e+04;2.843100513e+01
2021-03-15T11:58:31;1.545046210e+00;1.966823578e+00;2.236321688e+00;2.290222883e+00;9.985401154e+00;1.194760132e+01;1.230915928e+01;1.237802696e+01;1.239031124e+01;6.425805092e-01;8.672338019e+00;9.549341911e+04;3.007479114e+01
2021-03-15T12:03:31;1.362947941e+00;1.441266418e+00;1.441265464e+00;1.441265464e+00;9.420189857e+00;1.084151649e+01;1.087747765e+01;1.088197708e+01;1.088465023e+01;4.516868591e-01;8.474900361e+00;9.549542024e+04;2.700750448e+01
2021-03-15T12:08:31;1.738355279e+00;1.838245749e+00;1.838244438e+00;1.838244438e+00;1.201486683e+01;1.382767963e+01;1.387354660e+01;1.387928486e+01;1.388269424e+01;4.500896931e-01;8.773315286e+00;9.548007958e+04;3.100404092e+01
2021-03-15T12:13:31;1.560858727e+00;1.650549650e+00;1.650548577e+00;1.650548577e+00;1.078807545e+01;1.241578960e+01;1.245697308e+01;1.246212578e+01;1.246518707e+01;5.157469511e-01;8.916232184e+00;9.547659733e+04;2.954877911e+01
2021-03-15T12:18:31;1.231172681e+00;1.440312505e+00;1.552315235e+00;1.574717164e+00;8.221237183e+00;9.651010513e+00;9.816816330e+00;9.847381592e+00;9.853642464e+00;6.232484579e-01;8.915586960e+00;9.547324580e+04;3.131380345e+01
2021-03-15T12:23:31;2.036205053e+00;2.487161160e+00;2.757431984e+00;2.811486959e+00;1.337811756e+01;1.585352135e+01;1.622896004e+01;1.629963112e+01;1.631290627e+01;6.081925631e-01;9.203357100e+00;9.546073387e+04;3.409211390e+01
2021-03-15T12:28:31;1.338300228e+00;1.415202498e+00;1.415201545e+00;1.415201545e+00;9.249835014e+00;1.064545727e+01;1.068076801e+01;1.068518639e+01;1.068781185e+01;5.207914114e-01;9.199808360e+00;9.545388870e+04;2.617554913e+01
2021-03-15T12:33:31;1.434436321e+00;1.977474928e+00;2.350257158e+00;2.424814463e+00;8.955174446e+00;1.093653488e+01;1.141811562e+01;1.151105595e+01;1.152667046e+01;6.764983535e-01;9.590493244e+00;9.545877118e+04;3.150433128e+01
2021-03-15T12:38:31;1.128200293e+00;1.193029642e+00;1.193028927e+00;1.193028927e+00;7.797701836e+00;8.974225998e+00;9.003993034e+00;9.007718086e+00;9.009930611e+00;4.667643309e-01;9.971823946e+00;9.544791673e+04;3.138150601e+01
2021-03-15T12:43:31;1.151727438e+00;1.217908740e+00;1.217907906e+00;1.217907906e+00;7.960312843e+00;9.161371231e+00;9.191760063e+00;9.195561409e+00;9.197820663e+00;4.942466021e-01;9.546940346e+00;9.543734644e+04;2.478958829e+01
2021-03-15T12:48:31;1.528530359e+00;1.616363645e+00;1.616362572e+00;1.616362572e+00;1.056463432e+01;1.215863514e+01;1.219896507e+01;1.220401192e+01;1.220700932e+01;5.115747452e-01;9.451124044e+00;9.544052639e+04;2.677125587e+01
2021-03-15T12:53:31;1.483874083e+00;2.137125492e+00;2.596805811e+00;2.688742161e+00;9.073293686e+00;1.121937847e+01;1.180570030e+01;1.191936588e+01;1.193805981e+01;6.427015066e-01;9.324982196e+00;9.543532054e+04;2.609638737e+01
2021-03-15T12:58:31;1.361556411e+00;1.439794898e+00;1.439794064e+00;1.439794064e+00;9.410572052e+00;1.083044720e+01;1.086637211e+01;1.087086678e+01;1.087353706e+01;4.297263622e-01;9.038502122e+00;9.543775923e+04;2.783178472e+01
2021-03-15T13:03:31;1.389435291e+00;1.671259880e+00;1.834729671e+00;1.867423177e+00;9.182675362e+00;1.084451389e+01;1.107575798e+01;1.111902332e+01;1.112736130e+01;5.810779333e-01;9.080119104e+00;9.543011006e+04;2.734980050e+01
2021-03-15T13:08:31;1.601120710e+00;1.693125248e+00;1.693124056e+00;1.693124056e+00;1.106635189e+01;1.273605251e+01;1.277829742e+01;1.278358364e+01;1.278672409e+01;4.671043158e-01;9.272718872e+00;9.543003641e+04;2.992318786e+01
2021-03-15T13:13:31;1.098999381e+00;1.572758317e+00;1.905070066e+00;1.971533537e+00;6.740883350e+00;8.319733620e+00;8.744290352e+00;8.826548576e+00;8.840114594e+00;8.382479548e-01;9.284010328e+00;9.542628520e+04;2.813832539e+01
2021-03-15T13:18:31;1.245972157e+00;1.432910919e+00;1.526259065e+00;1.544928551e+00;8.371523857e+00;9.792433739e+00;9.936425209e+00;9.962625504e+00;9.968275070e+00;6.485260725e-01;9.354017388e+00;9.542670804e+04;2.969548681e+01
2021-03-15T13:23:31;1.342421055e+00;1.419560075e+00;1.419559121e+00;1.419559121e+00;9.278315544e+00;1.067823601e+01;1.071365547e+01;1.071808720e+01;1.072072029e+01;5.154376030e-01;9.265943999e+00;9.542785200e+04;2.995229644e+01
2021-03-15T13:28:31;9.187095165e-01;1.455109000e+00;1.846503258e+00;1.924782515e+00;5.342778683e+00;6.810560226e+00;7.300686359e+00;7.396327496e+00;7.411569595e+00;8.755575418e-01;9.194969168e+00;9.542355893e+04;3.030127883e+01
2021-03-15T13:33:31;1.193560600e+00;1.739697218e+00;2.126188755e+00;2.203486919e+00;7.255058765e+00;9.003080368e+00;9.494624138e+00;9.590011597e+00;9.605625153e+00;7.379976511e-01;9.238199286e+00;9.542584322e+04;3.192740912e+01
2021-03-15T13:38:31;1.447812796e+00;2.006724596e+00;2.391731024e+00;2.468733311e+00;9.016175270e+00;1.102740669e+01;1.152389050e+01;1.161976719e+01;1.163582706e+01;7.929130793e-01;8.983012842e+00;9.542711290e+04;3.127207870e+01
2021-03-15T13:43:31;2.104538918e+00;4.407759190e+00;6.173928738e+00;6.527163029e+00;1.000169086e+01;1.449649620e+01;1.665433884e+01;1.707918358e+01;1.714395905e+01;8.789834380e-01;8.923652255e+00;9.542103530e+04;3.003481480e+01
2021-03-15T13:48:31;1.069578528e+00;1.131039262e+00;1.131038547e+00;1.131038547e+00;7.392529964e+00;8.507921219e+00;8.536141396e+00;8.539672852e+00;8.541770935e+00;5.360429287e-01;8.928491432e+00;9.542434235e+04;3.032987882e+01
2021-03-15T13:53:31;1.026589751e+00;1.085580349e+00;1.085579634e+00;1.085579634e+00;7.095407486e+00;8.165968895e+00;8.193055153e+00;8.196444511e+00;8.198457718e+00;3.744353056e-01;8.992045979e+00;9.541815641e+04;2.984234748e+01
2021-03-15T13:58:31;1.175859332e+00;1.583066821e+00;1.857942462e+00;1.912917852e+00;7.419884205e+00;9.004086494e+00;9.362305641e+00;9.431225777e+00;9.442971230e+00;7.646753788e-01;8.844289790e+00;9.541848122e+04;2.924362660e+01
2021-03-15T14:03:31;1.398588181e+00;1.956577659e+00;2.343127966e+00;2.420436859e+00;8.671985626e+00;1.063389206e+01;1.113091373e+01;1.122699261e+01;1.124300957e+01;5.471423864e-01;8.883003179e+00;9.542427777e+04;3.303788354e+01
2021-03-15T14:08:31;7.749488354e-01;8.194794059e-01;8.194788694e-01;8.194788694e-01;5.356158733e+00;6.164300442e+00;6.184747219e+00;6.187305927e+00;6.188825607e+00;4.854961634e-01;9.012370539e+00;9.541595340e+04;3.189067741e+01
2021-03-15T14:13:31;9.119792581e-01;1.155274034e+00;1.309764743e+00;1.340663791e+00;5.905778885e+00;7.058018208e+00;7.265975475e+00;7.305540085e+00;7.312633991e+00;5.562018156e-01;8.919458302e+00;9.541294187e+04;3.083929133e+01
2021-03-15T14:18:31;1.314433455e+00;1.649143934e+00;1.858902335e+00;1.900855184e+00;8.545194626e+00;1.018910313e+01;1.047346687e+01;1.052743721e+01;1.053721809e+01;5.883591175e-01;8.829127050e+00;9.541971790e+04;2.920924327e+01
2021-03-15T14:23:30;1.534235835e+00;1.912694216e+00;2.147637844e+00;2.194626093e+00;9.999591827e+00;1.190551472e+01;1.222565556e+01;1.228631115e+01;1.229738808e+01;5.731014013e-01;8.861710813e+00;9.542164395e+04;3.255247709e+01
2021-03-15T14:28:30;1.174466610e+00;1.241954446e+00;1.241953731e+00;1.241953731e+00;8.117477417e+00;9.342248917e+00;9.373237610e+00;9.377114296e+00;9.379418373e+00;4.970917702e-01;8.741054166e+00;9.542488183e+04;3.308610828e+01
