Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0xee103ef
SPS30 serial number: 3D0EBA6AC17D82AF
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:28:30;1.664481163e+00;1.760125399e+00;1.760127425e+00;1.760125399e+00;1.150491428e+01;1.324004269e+01;1.328396606e+01;1.328943062e+01;1.329267406e+01;4.062379599e-01;1.540293600e+01;9.554284320e+04;2.605938409e+01
2021-03-15T10:33:29;1.470734000e+00;1.967757940e+00;2.301615238e+00;2.368384361e+00;9.306941986e+00;1.127491951e+01;1.171092224e+01;1.179460907e+01;1.180892372e+01;7.364551425e-01;1.358347393e+01;9.553627988e+04;2.765326579e+01
2021-03-15T10:38:29;1.072970152e+00;1.134624958e+00;1.134626269e+00;1.134624958e+00;7.416382313e+00;8.534893990e+00;8.563207626e+00;8.566730499e+00;8.568821907e+00;4.403119087e-01;1.220472980e+01;9.552840501e+04;2.902635026e+01
2021-03-15T10:43:29;7.854251266e-01;8.305571079e-01;8.305581212e-01;8.305571079e-01;5.428867817e+00;6.247629642e+00;6.268356323e+00;6.270934582e+00;6.272465229e+00;3.779850006e-01;1.128397745e+01;9.552526762e+04;3.095487334e+01
2021-03-15T10:48:29;1.008430600e+00;1.830118775e+00;2.448232412e+00;2.571853399e+00;5.380289078e+00;7.236562252e+00;7.998549938e+00;8.147863388e+00;8.171025276e+00;7.721505761e-01;1.037924734e+01;9.552437910e+04;3.240393630e+01
2021-03-15T10:53:29;1.514057279e+00;1.601057768e+00;1.601059675e+00;1.601057768e+00;1.046518135e+01;1.204350185e+01;1.208345604e+01;1.208842659e+01;1.209137726e+01;5.129078627e-01;1.004874288e+01;9.552331903e+04;3.325017091e+01
2021-03-15T10:58:29;1.548757315e+00;1.637751698e+00;1.637753725e+00;1.637751698e+00;1.070502853e+01;1.231952190e+01;1.236039162e+01;1.236547565e+01;1.236849403e+01;4.801558256e-01;9.856909942e+00;9.552505394e+04;3.309817375e+01
2021-03-15T11:03:29;1.034705162e+00;1.706360579e+00;2.201827526e+00;2.300918818e+00;5.877388000e+00;7.601314545e+00;8.218080521e+00;8.338509560e+00;8.357517242e+00;8.452394605e-01;9.793179222e+00;9.551414022e+04;3.429989622e+01
2021-03-15T11:08:29;1.809105754e+00;3.477442741e+00;4.743532658e+00;4.996748924e+00;9.247752190e+00;1.278261852e+01;1.433664036e+01;1.464163780e+01;1.468858051e+01;8.593719602e-01;9.691658520e+00;9.550737038e+04;3.387791479e+01
2021-03-15T11:13:29;1.020727038e+00;1.079379916e+00;1.079381227e+00;1.079379916e+00;7.055277348e+00;8.119328499e+00;8.146264076e+00;8.149615288e+00;8.151604652e+00;5.053849220e-01;9.301909758e+00;9.550696535e+04;3.339672625e+01
2021-03-15T11:18:29;1.359515190e+00;1.711960316e+00;1.933978677e+00;1.978380919e+00;8.825881958e+00;1.053225994e+01;1.083227253e+01;1.088917732e+01;1.089944077e+01;5.408765078e-01;8.965964969e+00;9.550823473e+04;3.340650352e+01
2021-03-15T11:23:29;1.150244951e+00;1.333615184e+00;1.428529263e+00;1.447510839e+00;7.706359386e+00;9.029042244e+00;9.172314644e+00;9.198509216e+00;9.204006195e+00;5.510478020e-01;8.647314968e+00;9.550756664e+04;3.346164882e+01
2021-03-15T11:28:29;1.103751421e+00;1.636020422e+00;2.015468836e+00;2.091356039e+00;6.653076649e+00;8.297874451e+00;8.778433800e+00;8.871685028e+00;8.886848450e+00;6.674082875e-01;8.587428108e+00;9.551764946e+04;3.370757219e+01
2021-03-15T11:33:29;1.797094584e+00;3.214795589e+00;4.278599262e+00;4.491358280e+00;9.685079575e+00;1.294396591e+01;1.425700665e+01;1.451418304e+01;1.455416679e+01;9.390913844e-01;8.435949758e+00;9.551688949e+04;3.524235948e+01
2021-03-15T11:38:29;1.990822196e+00;2.699363470e+00;3.180221796e+00;3.276388884e+00;1.252366734e+01;1.522526073e+01;1.584987545e+01;1.596999073e+01;1.599036121e+01;5.729310513e-01;8.328986341e+00;9.551601630e+04;3.498681086e+01
2021-03-15T11:43:29;1.459979653e+00;2.234156132e+00;2.792819023e+00;2.904549837e+00;8.654330254e+00;1.090388870e+01;1.160706139e+01;1.174381351e+01;1.176581669e+01;8.321321607e-01;8.287994406e+00;9.551382725e+04;3.493017810e+01
2021-03-15T11:48:29;1.365417004e+00;1.443876386e+00;1.443878174e+00;1.443876386e+00;9.437778473e+00;1.086114979e+01;1.089718151e+01;1.090166378e+01;1.090432453e+01;4.403797388e-01;8.521776783e+00;9.551703941e+04;3.433543110e+01
2021-03-15T11:53:29;1.208895922e+00;1.480185628e+00;1.643527746e+00;1.676193476e+00;7.935735703e+00;9.408680916e+00;9.634909630e+00;9.677459717e+00;9.685418129e+00;6.193370819e-01;8.588388859e+00;9.550950537e+04;3.326843684e+01
2021-03-15T11:58:29;1.455125451e+00;1.538739681e+00;1.538741469e+00;1.538739681e+00;1.005784416e+01;1.157473183e+01;1.161313057e+01;1.161790752e+01;1.162074375e+01;4.817314148e-01;8.736024453e+00;9.550119997e+04;3.462991111e+01
