Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0xb208f50b
SPS30 serial number: BA5D484176C95811
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:28:18;1.709727287e+00;2.229328632e+00;2.570343733e+00;2.638546467e+00;1.093977642e+01;1.316672134e+01;1.361771679e+01;1.370402718e+01;1.371907616e+01;6.018604040e-01;1.427537446e+01;9.553264162e+04;1.966741513e+01
2021-03-15T10:33:17;1.143554807e+00;1.460543871e+00;1.663909197e+00;1.704581976e+00;7.380706310e+00;8.837999344e+00;9.110223770e+00;9.162103653e+00;9.171318054e+00;5.634107590e-01;1.328328184e+01;9.553034436e+04;1.956696030e+01
2021-03-15T10:38:17;1.363577366e+00;2.022043467e+00;2.491540909e+00;2.585440397e+00;8.216670990e+00;1.025005531e+01;1.084484291e+01;1.096041203e+01;1.097919941e+01;6.660056710e-01;1.274428048e+01;9.552647862e+04;2.239197625e+01
2021-03-15T10:43:17;8.307990432e-01;8.785384297e-01;8.785390854e-01;8.785390854e-01;5.742287159e+00;6.608558655e+00;6.630479336e+00;6.633215427e+00;6.634834766e+00;4.659945965e-01;1.204792764e+01;9.551118979e+04;2.243752240e+01
2021-03-15T10:48:17;1.472851753e+00;1.557484865e+00;1.557486057e+00;1.557486057e+00;1.018000507e+01;1.171574211e+01;1.175460339e+01;1.175945473e+01;1.176232529e+01;5.280359983e-01;1.097573486e+01;9.551698994e+04;2.409830112e+01
2021-03-15T10:53:17;1.415246248e+00;1.871119499e+00;2.174251318e+00;2.234878302e+00;9.001865387e+00;1.087241077e+01;1.127054882e+01;1.134692669e+01;1.136009884e+01;6.154446602e-01;1.088949662e+01;9.551990979e+04;2.533321953e+01
2021-03-15T10:58:17;1.256458879e+00;1.638792157e+00;1.889791489e+00;1.939990044e+00;8.038507462e+00;9.675574303e+00;1.000747204e+01;1.007099438e+01;1.008206654e+01;6.978814602e-01;1.061726747e+01;9.551098023e+04;2.656694592e+01
2021-03-15T11:03:17;1.212971568e+00;1.282671332e+00;1.282672286e+00;1.282672286e+00;8.383773804e+00;9.648534775e+00;9.680539131e+00;9.684534073e+00;9.686898232e+00;4.670085907e-01;1.032766288e+01;9.551316098e+04;2.752532672e+01
2021-03-15T11:08:17;1.337625742e+00;1.447071195e+00;1.473441243e+00;1.478716016e+00;9.177504539e+00;1.060659122e+01;1.067327023e+01;1.068391514e+01;1.068742847e+01;5.804470778e-01;1.013137585e+01;9.550969963e+04;2.555613587e+01
2021-03-15T11:13:17;1.634695649e+00;1.728628635e+00;1.728629947e+00;1.728629947e+00;1.129863167e+01;1.300312328e+01;1.304625511e+01;1.305163860e+01;1.305482483e+01;5.043867826e-01;9.837911441e+00;9.549890391e+04;2.816138160e+01
2021-03-15T11:18:17;1.307745218e+00;1.971858621e+00;2.448523760e+00;2.543857336e+00;7.812329769e+00;9.796833992e+00;1.039867973e+01;1.051575947e+01;1.053468418e+01;7.323794961e-01;9.258386366e+00;9.550623865e+04;2.557237381e+01
2021-03-15T11:23:17;1.441513896e+00;1.729703069e+00;1.895905018e+00;1.929143667e+00;9.535758972e+00;1.125531960e+01;1.149116993e+01;1.153523731e+01;1.154375744e+01;6.000438929e-01;9.053091861e+00;9.550594065e+04;2.756597058e+01
2021-03-15T11:28:17;1.649151087e+00;1.865869164e+00;1.964569449e+00;1.984310746e+00;1.114457798e+01;1.299271488e+01;1.315370369e+01;1.318248653e+01;1.318909264e+01;5.743328333e-01;8.744829193e+00;9.551431568e+04;2.796315614e+01
2021-03-15T11:33:17;1.638930440e+00;1.896494746e+00;2.028729439e+00;2.055176497e+00;1.098765182e+01;1.286881351e+01;1.306944561e+01;1.310612869e+01;1.311386585e+01;6.377756000e-01;8.561738395e+00;9.551370964e+04;2.732971653e+01
2021-03-15T11:38:17;1.812102914e+00;2.397661448e+00;2.787295580e+00;2.865221739e+00;1.152227211e+01;1.391929722e+01;1.443086338e+01;1.452901459e+01;1.454593086e+01;6.212635040e-01;8.416295703e+00;9.551255313e+04;2.664339440e+01
2021-03-15T11:43:17;1.622468472e+00;1.893936634e+00;2.038188457e+00;2.067039251e+00;1.084294701e+01;1.272259903e+01;1.293710136e+01;1.297657299e+01;1.298469067e+01;6.783896685e-01;8.325876802e+00;9.550788738e+04;2.804359250e+01
2021-03-15T11:48:17;1.656350970e+00;1.914890647e+00;2.047104359e+00;2.073549032e+00;1.110811329e+01;1.300741100e+01;1.320847797e+01;1.324521255e+01;1.325298405e+01;5.731840134e-01;8.615475023e+00;9.551111078e+04;2.791429805e+01
2021-03-15T11:53:17;1.151773930e+00;1.217957258e+00;1.217958093e+00;1.217958093e+00;7.960790157e+00;9.161741257e+00;9.192131042e+00;9.195923805e+00;9.198169708e+00;5.503033400e-01;8.518298628e+00;9.550129641e+04;2.593821988e+01
2021-03-15T11:58:17;1.259690523e+00;1.645220995e+00;1.898656249e+00;1.949343681e+00;8.054574013e+00;9.698184967e+00;1.003306866e+01;1.009717655e+01;1.010833931e+01;6.413212419e-01;8.728096803e+00;9.549443590e+04;2.783011075e+01
