Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0xbb1a5576
SPS30 serial number: 7D6E454FFCFF64BB
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:28:13;2.098729372e+00;2.219326735e+00;2.219328165e+00;2.219325304e+00;1.450592709e+01;1.669424629e+01;1.674963760e+01;1.675656891e+01;1.676066399e+01;4.854658842e-01;1.453022286e+01;9.550360680e+04;2.238549735e+01
2021-03-15T10:33:13;9.771639109e-01;1.033313751e+00;1.033314347e+00;1.033313036e+00;6.753928661e+00;7.772805214e+00;7.798595428e+00;7.801822186e+00;7.803728580e+00;4.874706268e-01;1.366035726e+01;9.550656622e+04;2.246763847e+01
2021-03-15T10:38:13;1.396760345e+00;1.477020979e+00;1.477021933e+00;1.477020025e+00;9.654080391e+00;1.111046505e+01;1.114733028e+01;1.115194225e+01;1.115466785e+01;5.045789480e-01;1.331637745e+01;9.550016028e+04;2.287987778e+01
2021-03-15T10:43:13;1.205954432e+00;1.637763262e+00;1.931153059e+00;1.989829183e+00;7.580600739e+00;9.220040321e+00;9.601004601e+00;9.674374580e+00;9.686784744e+00;5.572566986e-01;1.300117034e+01;9.548667835e+04;2.529759729e+01
2021-03-15T10:48:13;1.301578045e+00;1.682458878e+00;1.930184126e+00;1.979726672e+00;8.358988762e+00;1.003867817e+01;1.036782455e+01;1.043070984e+01;1.044174194e+01;6.686643958e-01;1.179405881e+01;9.548269057e+04;2.594438043e+01
2021-03-15T10:53:13;1.542132974e+00;1.990030408e+00;2.280806303e+00;2.338958979e+00;9.910911560e+00;1.189747810e+01;1.228420448e+01;1.235806656e+01;1.237104416e+01;5.591624975e-01;1.164508907e+01;9.548938079e+04;2.585577694e+01
2021-03-15T10:58:13;1.413114667e+00;1.899976015e+00;2.228286266e+00;2.293946028e+00;8.922617912e+00;1.082353020e+01;1.125151730e+01;1.133382988e+01;1.134784222e+01;5.844236612e-01;1.154598916e+01;9.548143190e+04;3.047316865e+01
2021-03-15T11:03:13;1.089512706e+00;1.152118325e+00;1.152119040e+00;1.152117491e+00;7.530457020e+00;8.666478157e+00;8.695234299e+00;8.698831558e+00;8.700957298e+00;4.579050541e-01;1.121800123e+01;9.547903617e+04;3.105593451e+01
2021-03-15T11:08:12;1.234152436e+00;1.305069327e+00;1.305070281e+00;1.305068493e+00;8.530173302e+00;9.817008972e+00;9.849581718e+00;9.853657722e+00;9.856065750e+00;5.225847960e-01;1.095458879e+01;9.548041345e+04;2.892694061e+01
2021-03-15T11:13:13;1.257179141e+00;1.329419136e+00;1.329419971e+00;1.329418302e+00;8.689328194e+00;1.000017357e+01;1.003335381e+01;1.003750515e+01;1.003995800e+01;4.132146835e-01;1.055531581e+01;9.547317986e+04;2.773925419e+01
2021-03-15T11:18:12;1.522377491e+00;1.609856486e+00;1.609857440e+00;1.609855413e+00;1.052231789e+01;1.210968208e+01;1.214986229e+01;1.215488911e+01;1.215785980e+01;4.967652559e-01;1.019632329e+01;9.547097176e+04;2.879429877e+01
2021-03-15T11:23:12;7.980653644e-01;8.439238071e-01;8.439243436e-01;8.439232111e-01;5.516041279e+00;6.348174095e+00;6.369237423e+00;6.371872902e+00;6.373429775e+00;4.932184219e-01;9.802807759e+00;9.547589758e+04;2.832229344e+01
2021-03-15T11:28:12;1.307542205e+00;1.382676244e+00;1.382677078e+00;1.382675290e+00;9.037425995e+00;1.040078449e+01;1.043529415e+01;1.043961239e+01;1.044216251e+01;4.127662182e-01;9.660234725e+00;9.547977637e+04;2.881310449e+01
2021-03-15T11:33:12;1.430731297e+00;1.653806448e+00;1.767810702e+00;1.790609598e+00;9.595634460e+00;1.123587704e+01;1.140930271e+01;1.144099045e+01;1.144768906e+01;6.439682841e-01;9.413449650e+00;9.548725323e+04;2.861617250e+01
2021-03-15T11:38:12;1.313894987e+00;1.905987501e+00;2.324078321e+00;2.407694340e+00;8.005894661e+00;9.920250893e+00;1.045246029e+01;1.055567741e+01;1.057257366e+01;7.786468267e-01;9.325540622e+00;9.548688596e+04;2.835172223e+01
2021-03-15T11:43:12;1.445731282e+00;1.667553306e+00;1.779845238e+00;1.802301884e+00;9.703713417e+00;1.135736847e+01;1.152915192e+01;1.156048489e+01;1.156715393e+01;5.382198095e-01;9.171460279e+00;9.548319453e+04;3.192852619e+01
2021-03-15T11:48:12;1.322232008e+00;1.939032912e+00;2.376733303e+00;2.464271545e+00;8.013078690e+00;9.961659431e+00;1.051742268e+01;1.062530613e+01;1.064289093e+01;8.683793545e-01;9.322024263e+00;9.548728564e+04;2.938332125e+01
2021-03-15T11:53:12;1.365805268e+00;1.670269012e+00;1.853161454e+00;1.889737725e+00;8.969680786e+00;1.063192272e+01;1.088561344e+01;1.093337822e+01;1.094231224e+01;7.086350322e-01;9.271516571e+00;9.547973977e+04;2.948295110e+01
2021-03-15T11:58:12;1.437628150e+00;1.779574394e+00;1.989462137e+00;2.031437159e+00;9.396665573e+00;1.116894531e+01;1.145665550e+01;1.151104164e+01;1.152104282e+01;5.376087427e-01;9.420162706e+00;9.547249742e+04;2.964767151e+01
2021-03-15T12:03:12;1.254034758e+00;1.326094151e+00;1.326094985e+00;1.326093197e+00;8.667594910e+00;9.975161552e+00;1.000825882e+01;1.001240063e+01;1.001484680e+01;4.397219419e-01;9.397785853e+00;9.546236994e+04;3.054623006e+01
2021-03-15T12:08:12;1.547287703e+00;2.045916080e+00;2.377511263e+00;2.443827391e+00;9.841545105e+00;1.188663292e+01;1.232206917e+01;1.240560150e+01;1.241998863e+01;5.755078793e-01;9.362941907e+00;9.544830032e+04;3.109139827e+01
2021-03-15T12:13:12;1.189426422e+00;1.257773280e+00;1.257774115e+00;1.257772446e+00;8.221037865e+00;9.461237907e+00;9.492630959e+00;9.496558189e+00;9.498879433e+00;4.537127018e-01;9.433908490e+00;9.545091867e+04;2.756046619e+01
2021-03-15T12:18:12;1.350106597e+00;1.427686453e+00;1.427687407e+00;1.427685618e+00;9.331622124e+00;1.073936081e+01;1.077499485e+01;1.077945328e+01;1.078208733e+01;4.940811396e-01;9.342483083e+00;9.544043429e+04;3.148558365e+01
2021-03-15T12:23:12;1.456027150e+00;1.643127203e+00;1.726838112e+00;1.743577838e+00;9.848394394e+00;1.147557068e+01;1.161361504e+01;1.163822174e+01;1.164393234e+01;5.801548958e-01;9.566251728e+00;9.543681354e+04;3.725900702e+01
2021-03-15T12:28:12;1.669902921e+00;1.846552849e+00;1.911861062e+00;1.924919963e+00;1.137399197e+01;1.320021152e+01;1.332200146e+01;1.334296227e+01;1.334845829e+01;5.485881567e-01;9.536842103e+00;9.543056405e+04;2.881608020e+01
2021-03-15T12:33:12;1.718781114e+00;1.817545772e+00;1.817546964e+00;1.817544580e+00;1.187981319e+01;1.367196465e+01;1.371732903e+01;1.372300434e+01;1.372635841e+01;4.939812422e-01;9.826463396e+00;9.543486030e+04;3.683530368e+01
2021-03-15T12:38:12;1.349121571e+00;1.426644802e+00;1.426645756e+00;1.426643848e+00;9.324812889e+00;1.073152542e+01;1.076713276e+01;1.077158737e+01;1.077421951e+01;4.821811914e-01;1.006046274e+01;9.542814249e+04;3.151329629e+01
2021-03-15T12:43:12;1.599872112e+00;2.033006430e+00;2.309150934e+00;2.364376545e+00;1.034762859e+01;1.237534714e+01;1.274618530e+01;1.281677628e+01;1.282936287e+01;6.128002405e-01;1.017906100e+01;9.541627389e+04;3.204490557e+01
2021-03-15T12:48:12;1.005082488e+00;1.420569658e+00;1.710092068e+00;1.767994642e+00;6.202167988e+00;7.627127171e+00;7.998186588e+00;8.069977760e+00;8.081864357e+00;7.490221858e-01;1.015572494e+01;9.541120315e+04;2.844689098e+01
2021-03-15T12:53:12;1.156242609e+00;1.492109179e+00;1.710162520e+00;1.753772140e+00;7.430788994e+00;8.920303345e+00;9.210304260e+00;9.265693665e+00;9.275424004e+00;7.559695840e-01;9.915971269e+00;9.541050376e+04;2.710038937e+01
2021-03-15T12:58:12;1.427816749e+00;1.509862065e+00;1.509863019e+00;1.509860992e+00;9.868736267e+00;1.135750294e+01;1.139518738e+01;1.139990234e+01;1.140268803e+01;4.427684546e-01;9.760930902e+00;9.541010603e+04;2.696546248e+01
