Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0x73eba155
SPS30 serial number: FD1922CB58117D02
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:27:45;1.708932042e+00;1.924468398e+00;2.019432545e+00;2.038425207e+00;1.181023788e+01;1.348437691e+01;1.363110352e+01;1.365895557e+01;1.366483212e+01;6.125196218e-01;1.478926131e+01;9.548178731e+04;2.574597722e+01
2021-03-15T10:32:45;1.146417737e+00;1.600806117e+00;1.915237665e+00;1.978123426e+00;7.216782570e+00;8.720998764e+00;9.124162674e+00;9.203268051e+00;9.215671539e+00;6.850145459e-01;1.420667062e+01;9.547576323e+04;2.391554075e+01
2021-03-15T10:37:45;9.216274023e-01;9.745859504e-01;9.745859504e-01;9.745859504e-01;6.513470173e+00;7.338480949e+00;7.355365276e+00;7.358043194e+00;7.359484196e+00;4.636887312e-01;1.352907262e+01;9.547058054e+04;2.565885224e+01
2021-03-15T10:42:45;1.077495456e+00;1.139410496e+00;1.139410496e+00;1.139410496e+00;7.615046024e+00;8.579584122e+00;8.599324226e+00;8.602455139e+00;8.604140282e+00;5.353103876e-01;1.246180986e+01;9.546125846e+04;2.599633908e+01
2021-03-15T10:47:45;1.284941196e+00;1.430740476e+00;1.488983870e+00;1.500631452e+00;8.917142868e+00;1.015591621e+01;1.025024414e+01;1.026801395e+01;1.027198792e+01;5.567233562e-01;1.132972262e+01;9.546469889e+04;2.684737701e+01
2021-03-15T10:52:45;1.691514730e+00;1.935174108e+00;2.053709030e+00;2.077417612e+00;1.162077427e+01;1.331515217e+01;1.349020863e+01;1.352368927e+01;1.353033352e+01;6.249045134e-01;1.104598083e+01;9.546617714e+04;2.812962410e+01
2021-03-15T10:57:44;1.190184355e+00;1.401824117e+00;1.517757893e+00;1.540944934e+00;8.085016251e+00;9.326666832e+00;9.489377975e+00;9.520774841e+00;9.526548386e+00;6.995455027e-01;1.115286536e+01;9.546718575e+04;2.801994340e+01
2021-03-15T11:02:44;9.479475021e-01;1.002418399e+00;1.002418399e+00;1.002418399e+00;6.699483871e+00;7.548055172e+00;7.565422058e+00;7.568176270e+00;7.569658279e+00;5.261974335e-01;1.101869801e+01;9.546128057e+04;3.050349823e+01
2021-03-15T11:07:44;1.203311086e+00;1.844435096e+00;2.307349920e+00;2.399933338e+00;7.200775146e+00;8.981637001e+00;9.566308975e+00;9.681362152e+00;9.698864937e+00;8.907145858e-01;1.110215136e+01;9.545424253e+04;2.971283054e+01
2021-03-15T11:12:44;1.695722461e+00;1.793162107e+00;1.793162107e+00;1.793162107e+00;1.198427773e+01;1.350223255e+01;1.353329849e+01;1.353822613e+01;1.354087734e+01;4.640158415e-01;1.067750299e+01;9.546027591e+04;2.981693192e+01
2021-03-15T11:17:44;1.094176054e+00;1.157049537e+00;1.157049537e+00;1.157049537e+00;7.732933044e+00;8.712403297e+00;8.732449532e+00;8.735629082e+00;8.737339020e+00;3.561965227e-01;1.022172238e+01;9.544642649e+04;3.019700566e+01
2021-03-15T11:22:44;1.655897856e+00;1.909625769e+00;2.037966490e+00;2.063634157e+00;1.134144783e+01;1.301884842e+01;1.320516968e+01;1.324090958e+01;1.324782944e+01;5.738829374e-01;9.539018665e+00;9.545793186e+04;2.968705436e+01
2021-03-15T11:27:44;1.017022967e+00;1.199986577e+00;1.300765514e+00;1.320922375e+00;6.903895855e+00;7.967500210e+00;8.108618736e+00;8.135861397e+00;8.140851974e+00;6.440091729e-01;9.337129365e+00;9.545924993e+04;2.929788451e+01
