Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0xe6d64d4a
SPS30 serial number: 934B87913FD5D3F2
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:28:20;1.716452956e+00;2.729233742e+00;3.469074726e+00;3.617043018e+00;9.959567070e+00;1.271340942e+01;1.363940334e+01;1.382008648e+01;1.384884262e+01;8.641400337e-01;1.397792254e+01;9.553190641e+04;2.217716359e+01
2021-03-15T10:33:20;1.084148169e+00;1.269078732e+00;1.368327856e+00;1.388178110e+00;7.237895966e+00;8.497696877e+00;8.644457817e+00;8.671517372e+00;8.677049637e+00;6.171241999e-01;1.287073516e+01;9.553012280e+04;2.268029650e+01
2021-03-15T10:38:20;1.095837355e+00;1.663086653e+00;2.071211815e+00;2.152837038e+00;6.523760796e+00;8.198227882e+00;8.712973595e+00;8.813138008e+00;8.829293251e+00;8.186919689e-01;1.209004660e+01;9.552421417e+04;2.504173413e+01
2021-03-15T10:43:20;9.774767160e-01;1.503869414e+00;1.884431958e+00;1.960544586e+00;5.776618481e+00;7.291753292e+00;7.770565510e+00;7.863818645e+00;7.878796101e+00;7.254574895e-01;1.140122820e+01;9.550919242e+04;2.566111478e+01
2021-03-15T10:48:20;1.415810227e+00;3.038055897e+00;4.285130978e+00;4.534545898e+00;6.576181412e+00;9.677482605e+00;1.119933605e+01;1.149901390e+01;1.154458809e+01;1.008396864e+00;1.039745765e+01;9.551508620e+04;2.737190363e+01
2021-03-15T10:53:20;1.773404717e+00;2.378992558e+00;2.786635399e+00;2.868163109e+00;1.120815563e+01;1.358851528e+01;1.412057304e+01;1.422286129e+01;1.424032879e+01;6.243311167e-01;1.024510060e+01;9.551485408e+04;2.830801939e+01
2021-03-15T10:58:20;1.548809767e+00;1.637807608e+00;1.637807608e+00;1.637807608e+00;1.070493603e+01;1.231992817e+01;1.236081123e+01;1.236592770e+01;1.236896515e+01;4.520728588e-01;1.009434419e+01;9.550906722e+04;2.873682031e+01
2021-03-15T11:03:20;1.153062582e+00;1.219319820e+00;1.219319820e+00;1.219319820e+00;7.969643116e+00;9.171977043e+00;9.202414513e+00;9.206223488e+00;9.208484650e+00;4.631998539e-01;1.005881565e+01;9.550180577e+04;3.021568278e+01
2021-03-15T11:08:20;1.281336188e+00;1.667615414e+00;1.920650244e+00;1.971257925e+00;8.205017090e+00;9.870820999e+00;1.020584965e+01;1.026993847e+01;1.028113556e+01;6.569711566e-01;9.934625892e+00;9.550031782e+04;2.852547354e+01
2021-03-15T11:13:20;1.469100475e+00;1.553518057e+00;1.553518057e+00;1.553518057e+00;1.015400791e+01;1.168588448e+01;1.172466469e+01;1.172951698e+01;1.173239803e+01;4.509532452e-01;9.720494990e+00;9.549383928e+04;3.106563693e+01
