Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0xe0da3bb4
SPS30 serial number: 98F9290B17B584E9
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:28:42;1.728608489e+00;2.438596487e+00;2.932814598e+00;3.031658411e+00;1.062408447e+01;1.309492016e+01;1.375611687e+01;1.388439846e+01;1.390460110e+01;5.500748158e-01;1.381982287e+01;9.553324206e+04;2.516455216e+01
2021-03-15T10:33:42;1.504458308e+00;1.854638219e+00;2.068080425e+00;2.110767841e+00;9.813532829e+00;1.168156052e+01;1.198972988e+01;1.204765511e+01;1.205758667e+01;5.439271927e-01;1.308727727e+01;9.552797329e+04;2.510160313e+01
2021-03-15T10:38:42;1.108284712e+00;1.582541347e+00;1.914825916e+00;1.981282592e+00;6.771199226e+00;8.375454903e+00;8.818396568e+00;8.904467583e+00;8.917963982e+00;6.845706105e-01;1.203294320e+01;9.552765841e+04;2.617611737e+01
2021-03-15T10:43:42;1.148704290e+00;1.214711547e+00;1.214710832e+00;1.214710832e+00;7.919456959e+00;9.133357048e+00;9.167632103e+00;9.171454430e+00;9.173282623e+00;3.733193874e-01;1.152976438e+01;9.551170264e+04;2.947198687e+01
2021-03-15T10:48:42;1.215638041e+00;1.285491467e+00;1.285490632e+00;1.285490632e+00;8.380915642e+00;9.665547371e+00;9.701820374e+00;9.705864906e+00;9.707799911e+00;4.135724306e-01;1.058154689e+01;9.552010539e+04;2.823268962e+01
2021-03-15T10:53:42;1.477803588e+00;1.928092837e+00;2.223793268e+00;2.282933474e+00;9.414494514e+00;1.136156273e+01;1.177040482e+01;1.184863567e+01;1.186142826e+01;5.839172602e-01;1.051769744e+01;9.552119889e+04;2.948953125e+01
2021-03-15T10:58:42;1.638408542e+00;1.972003341e+00;2.165792704e+00;2.204550982e+00;1.078844929e+01;1.277241516e+01;1.306034184e+01;1.311384010e+01;1.312329102e+01;6.279975176e-01;1.048593156e+01;9.551404647e+04;2.969939828e+01
2021-03-15T11:03:42;1.448925138e+00;1.778022170e+00;1.976983309e+00;2.016776800e+00;9.468567848e+00;1.125903702e+01;1.154768944e+01;1.160183907e+01;1.161117077e+01;5.621749163e-01;1.037506872e+01;9.550998849e+04;3.504084642e+01
2021-03-15T11:08:42;1.286831617e+00;1.753879547e+00;2.072026014e+00;2.135655642e+00;8.039146423e+00;9.813656807e+00;1.024448586e+01;1.032764626e+01;1.034092808e+01;7.791036367e-01;1.008314116e+01;9.550514093e+04;2.999855479e+01
2021-03-15T11:13:42;1.709492564e+00;1.807723999e+00;1.807722807e+00;1.807722807e+00;1.178567219e+01;1.359218884e+01;1.364319611e+01;1.364888477e+01;1.365160561e+01;4.056179523e-01;9.871899294e+00;9.549879771e+04;3.347002721e+01
2021-03-15T11:18:42;1.187440515e+00;1.521255493e+00;1.736196637e+00;1.779184461e+00;7.624009132e+00;9.158978462e+00;9.459539413e+00;9.516779900e+00;9.526259422e+00;7.068234682e-01;9.318225630e+00;9.550026071e+04;2.948190346e+01
2021-03-15T11:23:42;1.197790623e+00;1.266618490e+00;1.266617656e+00;1.266617656e+00;8.257870674e+00;9.523642540e+00;9.559382439e+00;9.563367844e+00;9.565275192e+00;4.218920469e-01;9.126044816e+00;9.550010846e+04;3.125211244e+01
2021-03-15T11:28:42;1.127243876e+00;1.192018032e+00;1.192017198e+00;1.192017198e+00;7.771503925e+00;8.962725639e+00;8.996359825e+00;9.000110626e+00;9.001905441e+00;4.861774445e-01;8.940535135e+00;9.552059645e+04;3.120920705e+01
2021-03-15T11:33:42;2.107026815e+00;2.760957241e+00;3.192207336e+00;3.278456926e+00;1.339778137e+01;1.618644905e+01;1.678126526e+01;1.689519501e+01;1.691377640e+01;6.232836246e-01;8.763284810e+00;9.551259216e+04;2.960423821e+01
2021-03-15T11:38:42;1.347408652e+00;1.424833894e+00;1.424833059e+00;1.424833059e+00;9.289375305e+00;1.071325684e+01;1.075346088e+01;1.075794411e+01;1.076008892e+01;4.921983480e-01;8.643847514e+00;9.551630808e+04;3.248640737e+01
2021-03-15T11:43:42;1.437598825e+00;1.520206690e+00;1.520205736e+00;1.520205736e+00;9.911169052e+00;1.143035984e+01;1.147325516e+01;1.147803879e+01;1.148032665e+01;4.295033216e-01;8.710872147e+00;9.550830978e+04;3.189570554e+01
2021-03-15T11:48:42;1.309130669e+00;1.384356499e+00;1.384355545e+00;1.384355545e+00;9.025477409e+00;1.040890884e+01;1.044797039e+01;1.045232677e+01;1.045441055e+01;4.324178696e-01;9.044407802e+00;9.551390277e+04;3.017121514e+01
2021-03-15T11:53:42;1.865446687e+00;2.808024645e+00;3.484118462e+00;3.619336367e+00;1.109150982e+01;1.394398975e+01;1.483361340e+01;1.500744343e+01;1.503428555e+01;6.853284836e-01;8.983100678e+00;9.550855469e+04;2.989463946e+01
2021-03-15T11:58:42;1.373778224e+00;1.563284755e+00;1.652766347e+00;1.670662522e+00;9.236995697e+00;1.080536842e+01;1.095673561e+01;1.098349190e+01;1.098883820e+01;5.977790356e-01;9.260412515e+00;9.549190949e+04;3.105278318e+01
2021-03-15T12:03:42;1.370779276e+00;1.746449232e+00;1.986737132e+00;2.034795046e+00;8.821659088e+00;1.058340740e+01;1.092070484e+01;1.098484039e+01;1.099550724e+01;5.909445286e-01;8.982783025e+00;9.549699022e+04;2.895095763e+01
2021-03-15T12:08:42;1.749233484e+00;2.213256359e+00;2.507448673e+00;2.566287994e+00;1.128974533e+01;1.352168465e+01;1.393676662e+01;1.401552486e+01;1.402869701e+01;6.863622069e-01;9.387474356e+00;9.548252416e+04;3.213336674e+01
2021-03-15T12:13:41;1.206889153e+00;1.276239753e+00;1.276239038e+00;1.276239038e+00;8.320597649e+00;9.595984459e+00;9.631996155e+00;9.636012077e+00;9.637932777e+00;4.050941467e-01;9.369368032e+00;9.547384141e+04;3.150247727e+01
2021-03-15T12:18:41;1.111504197e+00;1.297929764e+00;1.397115946e+00;1.416953087e+00;7.403416634e+00;8.707276344e+00;8.862788200e+00;8.891077995e+00;8.896349907e+00;5.883613825e-01;9.428134183e+00;9.547099611e+04;3.234116732e+01
2021-03-15T12:23:41;1.808982849e+00;2.527046204e+00;3.024061680e+00;3.123465061e+00;1.117088413e+01;1.373030281e+01;1.439734745e+01;1.452659225e+01;1.454702091e+01;6.913258433e-01;9.760401910e+00;9.546020826e+04;3.489054017e+01
2021-03-15T12:28:41;1.555277467e+00;1.644647479e+00;1.644646406e+00;1.644646406e+00;1.072247601e+01;1.236602402e+01;1.241243076e+01;1.241760540e+01;1.242008114e+01;4.538699389e-01;9.774061126e+00;9.545474929e+04;3.373202520e+01
2021-03-15T12:33:41;1.669271588e+00;1.765191793e+00;1.765190721e+00;1.765190721e+00;1.150837898e+01;1.327239132e+01;1.332219887e+01;1.332775402e+01;1.333041096e+01;4.806385040e-01;1.019908616e+01;9.545972358e+04;3.200395685e+01
2021-03-15T12:38:41;1.550786972e+00;1.703158498e+00;1.754354119e+00;1.764592767e+00;1.055753326e+01;1.226306152e+01;1.237248516e+01;1.239033890e+01;1.239461517e+01;6.268466711e-01;1.054501610e+01;9.544968185e+04;3.287469326e+01
2021-03-15T12:43:41;1.434029579e+00;2.011980057e+00;2.413036585e+00;2.493247986e+00;8.836988449e+00;1.087510872e+01;1.141259956e+01;1.151680565e+01;1.153324986e+01;6.550997496e-01;1.056788755e+01;9.544062914e+04;3.071422098e+01
2021-03-15T12:48:41;1.165676236e+00;1.232658744e+00;1.232657909e+00;1.232657909e+00;8.036465645e+00;9.268301010e+00;9.303082466e+00;9.306961060e+00;9.308816910e+00;4.349015951e-01;1.026198241e+01;9.544029575e+04;2.522488198e+01
2021-03-15T12:53:41;1.053369284e+00;1.610325813e+00;2.012094021e+00;2.092448235e+00;6.210757256e+00;7.847539902e+00;8.374551773e+00;8.477666855e+00;8.493530273e+00;8.859301209e-01;1.009934168e+01;9.543889464e+04;2.820444334e+01
2021-03-15T12:58:41;1.272561550e+00;1.766002893e+00;2.106174231e+00;2.174209118e+00;7.883125305e+00;9.671259880e+00;1.012883186e+01;1.021740437e+01;1.023144150e+01;6.146404743e-01;9.743248479e+00;9.543558920e+04;2.769717320e+01
2021-03-15T13:03:41;1.293901086e+00;1.368251681e+00;1.368250847e+00;1.368250847e+00;8.920480728e+00;1.028781796e+01;1.032642555e+01;1.033073044e+01;1.033279037e+01;3.749146461e-01;9.909065119e+00;9.543344944e+04;2.742569590e+01
2021-03-15T13:08:41;1.396212339e+00;2.243113041e+00;2.863594055e+00;2.987691402e+00;8.002027512e+00;1.028616238e+01;1.109318733e+01;1.125166702e+01;1.127579975e+01;8.809500933e-01;1.030264264e+01;9.542708075e+04;3.118389831e+01
2021-03-15T13:13:41;1.026609778e+00;1.085601211e+00;1.085600495e+00;1.085600495e+00;7.077706814e+00;8.162582397e+00;8.193214417e+00;8.196630478e+00;8.198265076e+00;4.819295406e-01;1.016890868e+01;9.543253226e+04;2.798196256e+01
2021-03-15T13:18:41;1.211053967e+00;1.280644059e+00;1.280643225e+00;1.280643225e+00;8.349311829e+00;9.629099846e+00;9.665235519e+00;9.669265747e+00;9.671193123e+00;4.660465717e-01;1.033694972e+01;9.542927271e+04;3.193197814e+01
2021-03-15T13:23:41;1.396264911e+00;1.801453710e+00;2.064446449e+00;2.117046118e+00;8.937943459e+00;1.075621605e+01;1.112228107e+01;1.119213009e+01;1.120363998e+01;7.069228888e-01;1.029692479e+01;9.542488578e+04;3.332508386e+01
2021-03-15T13:28:41;1.128690720e+00;1.321681023e+00;1.425380588e+00;1.446120620e+00;7.510092735e+00;8.837997437e+00;8.999588966e+00;9.029054642e+00;9.034513474e+00;6.851821542e-01;1.028644208e+01;9.542841202e+04;3.057472476e+01
2021-03-15T13:33:41;9.718248248e-01;1.371301532e+00;1.649411321e+00;1.705033183e+00;5.972187042e+00;7.361631393e+00;7.733676910e+00;7.805861950e+00;7.817228794e+00;6.430457830e-01;1.017399120e+01;9.542311008e+04;3.167370153e+01
2021-03-15T13:38:41;1.181231976e+00;1.667149544e+00;2.005477667e+00;2.073143959e+00;7.258297443e+00;8.947517395e+00;9.400093079e+00;9.487904549e+00;9.501730919e+00;5.709431171e-01;9.918594821e+00;9.543269284e+04;2.965400648e+01
2021-03-15T13:43:41;2.516496897e+00;4.159698009e+00;5.372540951e+00;5.615112305e+00;1.417532730e+01;1.841536140e+01;1.998649216e+01;2.029556465e+01;2.034239388e+01;8.246814609e-01;9.998962010e+00;9.542544028e+04;3.415801648e+01
2021-03-15T13:48:41;9.139934182e-01;1.042877674e+00;1.104680181e+00;1.117040992e+00;6.139562130e+00;7.185977936e+00;7.289484024e+00;7.307847500e+00;7.311484337e+00;5.966249704e-01;9.878887738e+00;9.543060442e+04;2.995654063e+01
2021-03-15T13:53:41;9.395773411e-01;1.235820413e+00;1.431880832e+00;1.471092343e+00;5.964589596e+00;7.213020325e+00;7.482895851e+00;7.534631252e+00;7.543049812e+00;6.771241426e-01;9.860781315e+00;9.542029751e+04;2.901713343e+01
2021-03-15T13:58:41;6.523030400e-01;6.897858977e-01;6.897854805e-01;6.897854805e-01;4.497141838e+00;5.186466694e+00;5.205930233e+00;5.208100796e+00;5.209138870e+00;4.195767641e-01;9.639692649e+00;9.542212114e+04;2.958482848e+01
2021-03-15T14:03:41;8.584201932e-01;1.191359162e+00;1.420892477e+00;1.466799140e+00;5.317472935e+00;6.523766041e+00;6.832509518e+00;6.892272949e+00;6.901743889e+00;5.541659594e-01;9.785179094e+00;9.542017621e+04;3.315832668e+01
2021-03-15T14:08:41;8.136389256e-01;1.164458752e+00;1.410545945e+00;1.459763169e+00;4.965417385e+00;6.145962715e+00;6.473788738e+00;6.537508011e+00;6.547492504e+00;7.261975408e-01;9.935748286e+00;9.541350933e+04;3.178806931e+01
2021-03-15T14:13:41;8.271240592e-01;8.746525645e-01;8.746520281e-01;8.746520281e-01;5.702402115e+00;6.576469898e+00;6.601149559e+00;6.603901863e+00;6.605218887e+00;4.091114998e-01;9.709576938e+00;9.541810642e+04;3.074866866e+01
2021-03-15T14:18:41;1.560575843e+00;1.650250196e+00;1.650249124e+00;1.650249124e+00;1.075900364e+01;1.240815067e+01;1.245471573e+01;1.245990849e+01;1.246239281e+01;4.848879576e-01;9.660975586e+00;9.542111245e+04;2.907985933e+01
