Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0x274784d6
SPS30 serial number: 15E099066D0D420B
SPS30 firmware version: 2.1
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:27:34;1.902638793e+00;2.183268070e+00;2.321903706e+00;2.349631071e+00;1.276754093e+01;1.494727230e+01;1.517354584e+01;1.521314812e+01;1.522240067e+01;5.797227621e-01;1.643554519e+01;9.556065926e+04;2.272317509e+01
2021-03-15T10:32:34;1.571337700e+00;2.234603167e+00;2.698321581e+00;2.791065454e+00;9.593917847e+00;1.190107250e+01;1.250340843e+01;1.261874390e+01;1.263957119e+01;5.329515934e-01;1.561822989e+01;9.555613386e+04;2.290374932e+01
2021-03-15T10:37:34;1.124306202e+00;1.529510021e+00;1.805163026e+00;1.860293388e+00;7.017328739e+00;8.586617470e+00;8.950802803e+00;9.020043373e+00;9.032825470e+00;6.957460046e-01;1.496342523e+01;9.555145906e+04;2.414746718e+01
2021-03-15T10:42:34;1.399294734e+00;1.479701161e+00;1.479700327e+00;1.479700327e+00;9.667379379e+00;1.112244225e+01;1.116755486e+01;1.117255592e+01;1.117551136e+01;5.063269138e-01;1.418315718e+01;9.554724473e+04;2.581482187e+01
2021-03-15T10:47:34;1.320105553e+00;1.395961523e+00;1.395960689e+00;1.395960689e+00;9.120281219e+00;1.049299812e+01;1.053555775e+01;1.054027557e+01;1.054306412e+01;4.116224051e-01;1.331925129e+01;9.554674770e+04;2.448449619e+01
2021-03-15T10:52:34;1.303199172e+00;1.669897437e+00;1.906067491e+00;1.953300953e+00;8.360713005e+00;1.005870628e+01;1.038168716e+01;1.044222546e+01;1.045389366e+01;6.551762819e-01;1.265839764e+01;9.555152599e+04;2.607644568e+01
2021-03-15T10:57:34;1.242262363e+00;1.664056182e+00;1.947649956e+00;2.004368305e+00;7.810646057e+00;9.514120102e+00;9.891555786e+00;9.963096619e+00;9.976427078e+00;5.512144566e-01;1.243428316e+01;9.555384026e+04;2.736090819e+01
2021-03-15T11:02:34;1.260141492e+00;1.534582138e+00;1.698088169e+00;1.730789423e+00;8.261000633e+00;9.808731079e+00;1.004387856e+01;1.008706856e+01;1.009590340e+01;6.144086123e-01;1.212588723e+01;9.555186524e+04;2.925124818e+01
2021-03-15T11:07:34;1.306947947e+00;1.754745245e+00;2.056375980e+00;2.116701841e+00;8.208454132e+00;1.000537586e+01;1.040635490e+01;1.048239422e+01;1.049654293e+01;6.562933922e-01;1.198382113e+01;9.554179224e+04;3.002176824e+01
2021-03-15T11:12:34;1.170153856e+00;1.237393379e+00;1.237392664e+00;1.237392664e+00;8.084301949e+00;9.301092148e+00;9.338816643e+00;9.342999458e+00;9.345470428e+00;5.077980757e-01;1.167798074e+01;9.555083701e+04;2.886979645e+01
2021-03-15T11:17:34;1.569776177e+00;2.098922491e+00;2.454168558e+00;2.525218487e+00;9.878347397e+00;1.202640820e+01;1.249964619e+01;1.258931065e+01;1.260603809e+01;7.164354324e-01;1.120740997e+01;9.554223237e+04;2.811137550e+01
2021-03-15T11:22:34;1.316995382e+00;1.792002797e+00;2.115188360e+00;2.179826498e+00;8.219204903e+00;1.005786705e+01;1.048481464e+01;1.056598949e+01;1.058097267e+01;5.708001852e-01;1.065734972e+01;9.554153424e+04;3.007987490e+01
2021-03-15T11:27:34;1.079796672e+00;1.141844034e+00;1.141843438e+00;1.141843438e+00;7.460046768e+00;8.582878113e+00;8.617690086e+00;8.621549606e+00;8.623829842e+00;4.672572613e-01;1.034385200e+01;9.554948499e+04;2.899069457e+01
2021-03-15T11:32:34;1.571956992e+00;1.662284851e+00;1.662283897e+00;1.662283897e+00;1.086026001e+01;1.249486637e+01;1.254554462e+01;1.255116272e+01;1.255448341e+01;3.998646736e-01;1.005972569e+01;9.555352025e+04;2.874787323e+01
2021-03-15T11:37:34;1.744402409e+00;2.122374296e+00;2.347151041e+00;2.392106295e+00;1.143988419e+01;1.358012390e+01;1.390377522e+01;1.396319485e+01;1.397536564e+01;5.952917337e-01;9.915428180e+00;9.555360508e+04;2.940728334e+01
2021-03-15T11:42:34;1.605298877e+00;1.697542667e+00;1.697541714e+00;1.697541714e+00;1.109061050e+01;1.275988770e+01;1.281164169e+01;1.281737900e+01;1.282076931e+01;3.663408756e-01;9.783581320e+00;9.555376660e+04;3.160984564e+01
2021-03-15T11:47:34;1.469391465e+00;1.732300639e+00;1.876744509e+00;1.905632615e+00;9.758538246e+00;1.149618530e+01;1.171539974e+01;1.175482750e+01;1.176338387e+01;5.691399574e-01;9.830190600e+00;9.555535897e+04;3.014596593e+01
2021-03-15T11:52:34;1.597160816e+00;1.688937068e+00;1.688936114e+00;1.688936114e+00;1.103438759e+01;1.269520187e+01;1.274669361e+01;1.275240135e+01;1.275577545e+01;5.015344620e-01;9.855729941e+00;9.554843484e+04;2.963969860e+01
2021-03-15T11:57:34;1.805077910e+00;2.615900993e+00;3.188169241e+00;3.302624464e+00;1.091333580e+01;1.362113476e+01;1.436014557e+01;1.450200176e+01;1.452742100e+01;7.531433105e-01;9.918620601e+00;9.553764470e+04;3.024155535e+01
2021-03-15T12:02:34;1.641057968e+00;2.176124573e+00;2.532846689e+00;2.604190350e+00;1.036679935e+01;1.259112358e+01;1.306841660e+01;1.315868473e+01;1.317561913e+01;5.801084042e-01;9.978638124e+00;9.553584993e+04;2.995539047e+01
2021-03-15T12:07:34;1.130687952e+00;1.213373303e+00;1.227708340e+00;1.230575681e+00;7.772624493e+00;8.969188690e+00;9.022695541e+00;9.030128479e+00;9.033058167e+00;5.116288662e-01;9.869776582e+00;9.552295934e+04;3.078036294e+01
2021-03-15T12:12:34;1.316824794e+00;1.392492294e+00;1.392491460e+00;1.392491460e+00;9.097615242e+00;1.046692085e+01;1.050937462e+01;1.051408100e+01;1.051686192e+01;5.080846548e-01;1.000321978e+01;9.551862998e+04;3.087010977e+01
2021-03-15T12:17:34;1.336058855e+00;2.304340363e+00;3.025856972e+00;3.170159817e+00;7.266807556e+00;9.703559875e+00;1.060500526e+01;1.078049755e+01;1.081056118e+01;8.667960763e-01;9.959164349e+00;9.551876554e+04;2.920735932e+01
2021-03-15T12:22:34;9.852879047e-01;1.041904569e+00;1.041903973e+00;1.041903973e+00;6.807109356e+00;7.831665516e+00;7.863430023e+00;7.866951466e+00;7.869032860e+00;4.443582296e-01;1.006994145e+01;9.550797912e+04;2.975478301e+01
2021-03-15T12:27:34;1.267346263e+00;1.667124987e+00;1.931735277e+00;1.984658480e+00;8.035611153e+00;9.737609863e+00;1.009327030e+01;1.016040897e+01;1.017307663e+01;6.290533543e-01;1.018008021e+01;9.550245089e+04;2.849248401e+01
2021-03-15T12:32:34;1.881516099e+00;2.274134398e+00;2.504387379e+00;2.550437450e+00;1.237226295e+01;1.466303349e+01;1.499762058e+01;1.505882359e+01;1.507149124e+01;5.175104141e-01;1.034449049e+01;9.550265263e+04;3.244353077e+01
2021-03-15T12:37:34;1.610052228e+00;1.853492141e+00;1.975635886e+00;2.000065088e+00;1.079101849e+01;1.264256001e+01;1.283977985e+01;1.287443352e+01;1.288244629e+01;6.344579458e-01;1.061393246e+01;9.549584019e+04;3.234939254e+01
2021-03-15T12:42:34;2.961752892e+00;3.463966608e+00;3.732680798e+00;3.786422729e+00;1.973067284e+01;2.320056725e+01;2.361573792e+01;2.368990326e+01;2.370630455e+01;5.866837502e-01;1.079781749e+01;9.548529556e+04;3.084352832e+01
