Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0x9744e944
SPS30 serial number: DE685F7756526A66
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:28:40;1.484482050e+00;1.695287347e+00;1.796860576e+00;1.817174792e+00;9.998357773e+00;1.166727161e+01;1.183927536e+01;1.187298203e+01;1.188021946e+01;5.845352411e-01;1.266609377e+01;9.554081730e+04;2.444127578e+01
2021-03-15T10:33:40;1.432432532e+00;1.514743090e+00;1.514743090e+00;1.514742136e+00;9.931102753e+00;1.139922237e+01;1.143202209e+01;1.143668747e+01;1.143939781e+01;4.875351191e-01;1.192071720e+01;9.553770313e+04;2.583197141e+01
2021-03-15T10:38:40;1.157257438e+00;1.458120108e+00;1.647795558e+00;1.685730100e+00;7.475028038e+00;8.936459541e+00;9.220678329e+00;9.278363228e+00;9.288823128e+00;7.787564993e-01;1.073316472e+01;9.553281350e+04;2.755070742e+01
2021-03-15T10:43:40;9.153079987e-01;9.679034948e-01;9.679034948e-01;9.679028392e-01;6.345860958e+00;7.283972740e+00;7.304931164e+00;7.307912350e+00;7.309644699e+00;5.304726362e-01;1.032095220e+01;9.552206094e+04;3.046830191e+01
2021-03-15T10:48:40;1.018277168e+00;1.279296398e+00;1.443189144e+00;1.475966930e+00;6.586000919e+00;7.867562771e+00;8.113566399e+00;8.163470268e+00;8.172542572e+00;5.821257830e-01;9.598548778e+00;9.552867417e+04;2.811274591e+01
2021-03-15T10:53:40;1.411946058e+00;1.841068983e+00;2.122703552e+00;2.179030895e+00;8.974976540e+00;1.083093452e+01;1.124593353e+01;1.133058834e+01;1.134553814e+01;6.229124069e-01;9.475173312e+00;9.552727418e+04;3.198275912e+01
2021-03-15T10:58:40;1.376157880e+00;1.455234766e+00;1.455234766e+00;1.455233812e+00;9.540948868e+00;1.095139217e+01;1.098290253e+01;1.098738480e+01;1.098998928e+01;5.160254240e-01;9.428947407e+00;9.552119901e+04;2.868343539e+01
2021-03-15T11:03:39;1.173396945e+00;1.240822673e+00;1.240822673e+00;1.240821838e+00;8.135199547e+00;9.337830544e+00;9.364698410e+00;9.368520737e+00;9.370740891e+00;5.331064463e-01;9.390372704e+00;9.551369614e+04;3.461244723e+01
2021-03-15T11:08:39;1.658306956e+00;1.753596663e+00;1.753596663e+00;1.753595471e+00;1.149709702e+01;1.319671822e+01;1.323468971e+01;1.324009132e+01;1.324322987e+01;5.580023527e-01;9.257114767e+00;9.551234037e+04;2.962532757e+01
2021-03-15T11:13:39;1.230487823e+00;1.576694369e+00;1.799661994e+00;1.844255090e+00;7.886503220e+00;9.471318245e+00;9.802448273e+00;9.869835854e+00;9.881884575e+00;7.630200982e-01;9.031405605e+00;9.550818024e+04;3.036151089e+01
2021-03-15T11:18:39;1.399600983e+00;1.707282901e+00;1.891208172e+00;1.927991748e+00;9.171827316e+00;1.087329102e+01;1.115524578e+01;1.121208572e+01;1.122275257e+01;6.581780314e-01;8.589552879e+00;9.551099136e+04;2.889120442e+01
2021-03-15T11:23:39;1.608172655e+00;1.959225893e+00;2.168552637e+00;2.210415840e+00;1.054443645e+01;1.249654198e+01;1.281778622e+01;1.288252640e+01;1.289469528e+01;6.030454636e-01;8.455020953e+00;9.551515109e+04;3.312181890e+01
2021-03-15T11:28:39;1.061474800e+00;1.122469425e+00;1.122469425e+00;1.122468591e+00;7.359240532e+00;8.447160721e+00;8.471466064e+00;8.474923134e+00;8.476932526e+00;4.731466770e-01;8.282552595e+00;9.552331337e+04;2.971969713e+01
2021-03-15T11:33:39;1.089183211e+00;1.301931381e+00;1.423460126e+00;1.447764874e+00;7.200053692e+00;8.492789268e+00;8.682855606e+00;8.720947266e+00;8.728306770e+00;6.296759844e-01;8.177987837e+00;9.552348148e+04;2.956781739e+01
2021-03-15T11:38:39;1.308678508e+00;2.037424803e+00;2.566354275e+00;2.672139168e+00;7.544191360e+00;9.653293610e+00;1.040193558e+01;1.055654812e+01;1.058208370e+01;7.197777629e-01;8.007432779e+00;9.552352620e+04;3.056899223e+01
2021-03-15T11:43:39;1.327212930e+00;1.403477311e+00;1.403477311e+00;1.403476357e+00;9.201610565e+00;1.056188965e+01;1.059228039e+01;1.059660244e+01;1.059911442e+01;4.977099895e-01;8.103708679e+00;9.552066544e+04;3.138812985e+01
2021-03-15T11:48:39;1.506579638e+00;2.177187681e+00;2.649860382e+00;2.744394779e+00;9.078860283e+00;1.130912971e+01;1.198586559e+01;1.212513256e+01;1.214859009e+01;6.203820705e-01;8.475423886e+00;9.552033460e+04;2.972717717e+01
2021-03-15T11:53:39;1.626621485e+00;1.720090508e+00;1.720090508e+00;1.720089316e+00;1.127742004e+01;1.294456768e+01;1.298181343e+01;1.298711109e+01;1.299018955e+01;4.757181406e-01;8.430473680e+00;9.551295849e+04;2.875204539e+01
2021-03-15T11:58:39;1.356740236e+00;1.520038366e+00;1.589102626e+00;1.602915525e+00;9.206687927e+00;1.069748688e+01;1.082239437e+01;1.084644604e+01;1.085202408e+01;6.413856149e-01;8.729823349e+00;9.550362330e+04;3.061278282e+01
2021-03-15T12:03:39;1.477795124e+00;1.829416513e+00;2.045264721e+00;2.088433981e+00;9.621671677e+00;1.144962120e+01;1.177674198e+01;1.184291172e+01;1.185511684e+01;6.172882318e-01;8.506665886e+00;9.549970791e+04;2.715694050e+01
2021-03-15T12:08:39;1.684554577e+00;2.262908220e+00;2.652641058e+00;2.730586290e+00;1.055251217e+01;1.284478951e+01;1.341290760e+01;1.352917767e+01;1.354935646e+01;6.871166825e-01;8.854472974e+00;9.549186288e+04;3.051338974e+01
2021-03-15T12:13:39;1.664255977e+00;2.089522600e+00;2.356302500e+00;2.409657955e+00;1.076718807e+01;1.286017799e+01;1.326077080e+01;1.334202576e+01;1.335680485e+01;6.721982360e-01;8.961588904e+00;9.548682340e+04;2.876281480e+01
2021-03-15T12:18:39;1.607522130e+00;1.699893713e+00;1.699893713e+00;1.699892521e+00;1.114500427e+01;1.279257584e+01;1.282938480e+01;1.283462048e+01;1.283766270e+01;5.383551121e-01;8.984861132e+00;9.548187945e+04;3.081372642e+01
2021-03-15T12:23:39;1.665230274e+00;1.760917783e+00;1.760917783e+00;1.760916710e+00;1.154509640e+01;1.325181389e+01;1.328994465e+01;1.329536819e+01;1.329851913e+01;4.475736618e-01;9.348928827e+00;9.547218172e+04;3.413306859e+01
2021-03-15T12:28:39;1.272546291e+00;1.345669389e+00;1.345669389e+00;1.345668435e+00;8.822605133e+00;1.012685585e+01;1.015599442e+01;1.016013908e+01;1.016254711e+01;5.500496626e-01;9.382402726e+00;9.546079457e+04;2.957694465e+01
2021-03-15T12:33:39;1.805291295e+00;2.231397390e+00;2.492298603e+00;2.544476986e+00;1.176198578e+01;1.399098969e+01;1.438682270e+01;1.446686649e+01;1.448165607e+01;6.665011048e-01;9.860283855e+00;9.546869765e+04;3.230862227e+01
2021-03-15T12:38:39;1.353232861e+00;1.812629461e+00;2.121497393e+00;2.183270454e+00;8.489197731e+00;1.032451153e+01;1.077516747e+01;1.086737156e+01;1.088339806e+01;7.537901402e-01;1.022563032e+01;9.545692800e+04;3.223442190e+01
2021-03-15T12:43:39;1.443005681e+00;1.646443367e+00;1.743982911e+00;1.763489366e+00;9.722458839e+00;1.134300804e+01;1.150858116e+01;1.154100609e+01;1.154798985e+01;5.740720034e-01;1.012680173e+01;9.544685737e+04;2.902821138e+01
2021-03-15T12:48:39;9.450553060e-01;1.269805670e+00;1.488683462e+00;1.532458305e+00;5.919413567e+00;7.205746651e+00;7.524783611e+00;7.590078831e+00;7.601408482e+00;7.032755017e-01;9.843387414e+00;9.544559165e+04;2.406000804e+01
2021-03-15T12:53:39;1.287284613e+00;1.361254573e+00;1.361254573e+00;1.361253738e+00;8.924786568e+00;1.024414253e+01;1.027361870e+01;1.027781105e+01;1.028024769e+01;3.853094578e-01;9.521399242e+00;9.544457149e+04;2.601320787e+01
2021-03-15T12:58:39;1.636953473e+00;2.191306353e+00;2.563828945e+00;2.638333797e+00;1.027224064e+01;1.249074936e+01;1.303439331e+01;1.314561558e+01;1.316495323e+01;7.317162156e-01;9.115887075e+00;9.544570294e+04;2.665450271e+01
2021-03-15T13:03:39;1.326380610e+00;1.402597070e+00;1.402597070e+00;1.402596235e+00;9.195840836e+00;1.055526638e+01;1.058563709e+01;1.058995724e+01;1.059246731e+01;5.216096640e-01;9.210570176e+00;9.543925423e+04;2.657747441e+01
2021-03-15T13:08:39;1.668458700e+00;2.586206436e+00;3.251367569e+00;3.384397984e+00;9.644769669e+00;1.232037640e+01;1.326235867e+01;1.345686913e+01;1.348902321e+01;9.608920217e-01;9.474854513e+00;9.543331244e+04;3.079910443e+01
2021-03-15T13:13:39;1.090729117e+00;1.373400331e+00;1.551447511e+00;1.587056398e+00;7.047398090e+00;8.423764229e+00;8.690658569e+00;8.744822502e+00;8.754647255e+00;5.772593021e-01;9.471985318e+00;9.543729705e+04;2.838484949e+01
2021-03-15T13:18:39;1.097366095e+00;1.160423040e+00;1.160423040e+00;1.160422325e+00;7.608075619e+00;8.732781410e+00;8.757908821e+00;8.761483192e+00;8.763559341e+00;4.530395269e-01;9.579101987e+00;9.543287952e+04;3.106032944e+01
2021-03-15T13:23:39;1.312532306e+00;1.939446926e+00;2.385781765e+00;2.475048065e+00;7.809656143e+00;9.802809715e+00;1.043931675e+01;1.057046509e+01;1.059240723e+01;9.083035588e-01;9.464971731e+00;9.543482140e+04;2.984407955e+01
2021-03-15T13:28:39;9.136638045e-01;9.661648273e-01;9.661648273e-01;9.661641717e-01;6.334461212e+00;7.270887852e+00;7.291809082e+00;7.294785023e+00;7.296514034e+00;5.304768085e-01;9.471985318e+00;9.543762779e+04;2.913449649e+01
2021-03-15T13:33:39;9.806640744e-01;1.162039042e+00;1.263223290e+00;1.283459187e+00;6.506493568e+00;7.658473969e+00;7.818412304e+00;7.850368023e+00;7.856635571e+00;5.787453651e-01;9.394517093e+00;9.543665565e+04;3.100070087e+01
2021-03-15T13:38:39;1.629647493e+00;1.723290324e+00;1.723290324e+00;1.723289251e+00;1.129839993e+01;1.296864796e+01;1.300596333e+01;1.301127148e+01;1.301435471e+01;4.831624031e-01;9.145216510e+00;9.543381437e+04;2.854703788e+01
2021-03-15T13:43:39;2.548987150e+00;4.208932400e+00;5.433819771e+00;5.678797245e+00;1.413155842e+01;1.852215767e+01;2.024482155e+01;2.060130692e+01;2.065952873e+01;8.283616900e-01;9.138521747e+00;9.543636159e+04;3.251349110e+01
2021-03-15T13:48:39;1.037382245e+00;1.999133706e+00;2.729255199e+00;2.875279665e+00;5.081719875e+00;7.204827785e+00;8.220624924e+00;8.431545258e+00;8.465337753e+00;1.098572731e+00;9.083688468e+00;9.543711251e+04;3.012619874e+01
2021-03-15T13:53:39;7.973593473e-01;8.431772590e-01;8.431772590e-01;8.431767225e-01;5.528118610e+00;6.345343590e+00;6.363601208e+00;6.366198540e+00;6.367707253e+00;5.017429590e-01;9.140115738e+00;9.542868441e+04;2.889596431e+01
2021-03-15T13:58:39;1.134616733e+00;1.199814200e+00;1.199814200e+00;1.199813366e+00;7.866335869e+00;9.029219627e+00;9.055200577e+00;9.058896065e+00;9.061042786e+00;4.761149883e-01;8.948199406e+00;9.543504314e+04;2.865452542e+01
2021-03-15T14:03:39;8.832688928e-01;1.219570637e+00;1.450669527e+00;1.496888757e+00;5.455718517e+00;6.696467876e+00;7.030695915e+00;7.099263668e+00;7.111010551e+00;8.558346629e-01;9.003032601e+00;9.543181640e+04;3.211568309e+01
2021-03-15T14:08:39;8.647505641e-01;1.399879575e+00;1.792755604e+00;1.871330261e+00;4.859699726e+00;6.316311836e+00;6.869927883e+00;6.984421253e+00;7.003185749e+00;8.494383693e-01;9.179646728e+00;9.542887269e+04;3.021576779e+01
2021-03-15T14:13:39;9.372868538e-01;9.911452532e-01;9.911452532e-01;9.911445975e-01;6.498240471e+00;7.458878994e+00;7.480340958e+00;7.483393669e+00;7.485167027e+00;3.780574799e-01;9.012596534e+00;9.542446262e+04;2.951613235e+01
2021-03-15T14:18:39;1.078815818e+00;1.629757881e+00;2.025476217e+00;2.104619026e+00;6.335605145e+00;8.015742302e+00;8.578121185e+00;8.694120407e+00;8.713413239e+00;8.282437921e-01;8.927477567e+00;9.542933463e+04;2.895790842e+01
2021-03-15T14:23:39;1.303251863e+00;1.378139377e+00;1.378139377e+00;1.378138423e+00;9.035488129e+00;1.037120914e+01;1.040105057e+01;1.040529537e+01;1.040776157e+01;5.222764015e-01;8.968921249e+00;9.543447296e+04;3.136807430e+01
2021-03-15T14:28:39;9.881891012e-01;1.254645109e+00;1.424337864e+00;1.458275557e+00;6.360634327e+00;7.619777203e+00;7.872972965e+00;7.924427509e+00;7.933694839e+00;6.671434641e-01;8.845227855e+00;9.543600468e+04;3.163278720e+01
2021-03-15T14:33:39;1.243360519e+00;1.535259128e+00;1.713676095e+00;1.749358654e+00;8.104529381e+00;9.637866020e+00;9.908757210e+00;9.963522911e+00;9.973653793e+00;5.680972338e-01;8.764572204e+00;9.543185962e+04;3.198227588e+01
2021-03-15T14:38:39;1.062238216e+00;1.123276591e+00;1.123276591e+00;1.123275876e+00;7.364532471e+00;8.453234673e+00;8.477558136e+00;8.481018066e+00;8.483028412e+00;4.752779007e-01;8.542689839e+00;9.544153967e+04;2.997697275e+01
2021-03-15T14:43:39;1.077513695e+00;1.139429927e+00;1.139429927e+00;1.139429092e+00;7.470438480e+00;8.574796677e+00;8.599470139e+00;8.602979660e+00;8.605018616e+00;4.196722507e-01;8.568193531e+00;9.544226976e+04;3.190539127e+01
