Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0xe7d0d0f1
SPS30 serial number: AB41F5B2330B0ECB
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:27:59;1.771140814e+00;2.200737953e+00;2.466051579e+00;2.519113064e+00;1.151836872e+01;1.373029518e+01;1.411391926e+01;1.418791103e+01;1.420054913e+01;6.466946602e-01;1.358109096e+01;9.551184094e+04;2.177201095e+01
2021-03-15T10:32:59;1.474888206e+00;1.829460859e+00;2.047834635e+00;2.091506958e+00;9.598639488e+00;1.143710327e+01;1.175333881e+01;1.181429958e+01;1.182473373e+01;6.629775763e-01;1.259200992e+01;9.550932781e+04;2.680327391e+01
2021-03-15T10:37:59;1.668565154e+00;2.005324364e+00;2.200272322e+00;2.239260912e+00;1.099955463e+01;1.300864506e+01;1.330092335e+01;1.335660648e+01;1.336656570e+01;5.614401102e-01;1.156322196e+01;9.550474574e+04;2.455369500e+01
2021-03-15T10:42:59;8.145202398e-01;8.613244891e-01;8.613244891e-01;8.613238931e-01;5.626054287e+00;6.477495670e+00;6.500559807e+00;6.503480434e+00;6.504972458e+00;3.796117306e-01;1.087930716e+01;9.549139044e+04;2.593812142e+01
2021-03-15T10:47:59;1.552373886e+00;2.208221674e+00;2.666818380e+00;2.758536100e+00;9.486232758e+00;1.173210430e+01;1.235247231e+01;1.247495461e+01;1.249403381e+01;7.511085868e-01;9.814696392e+00;9.549322432e+04;2.613238799e+01
2021-03-15T10:52:59;1.385422826e+00;1.567659259e+00;1.650717378e+00;1.667326808e+00;9.345477104e+00;1.090655708e+01;1.105018234e+01;1.107632542e+01;1.108180332e+01;6.345589757e-01;9.740106292e+00;9.549691946e+04;2.745691355e+01
2021-03-15T10:57:59;1.153489709e+00;1.219771862e+00;1.219771862e+00;1.219771028e+00;7.967383862e+00;9.173159599e+00;9.205821991e+00;9.209959030e+00;9.212071419e+00;4.055403471e-01;9.605456784e+00;9.549032805e+04;2.892035256e+01
2021-03-15T11:02:59;1.596680403e+00;1.828899741e+00;1.942585230e+00;1.965321064e+00;1.072210789e+01;1.254563618e+01;1.273374081e+01;1.276844883e+01;1.277539825e+01;5.450365543e-01;9.560573659e+00;9.548881063e+04;2.880603198e+01
2021-03-15T11:07:59;1.584669232e+00;2.627254486e+00;3.397345781e+00;3.551362276e+00;8.869552612e+00;1.157243443e+01;1.258523083e+01;1.278724384e+01;1.281741047e+01;9.675095081e-01;9.491473063e+00;9.548084957e+04;2.836930790e+01
2021-03-15T11:12:59;1.486297607e+00;1.804869652e+00;1.993575454e+00;2.031315088e+00;9.757425308e+00;1.156750393e+01;1.184677505e+01;1.190021324e+01;1.190961742e+01;6.245559454e-01;9.283202890e+00;9.547938588e+04;2.848973990e+01
2021-03-15T11:17:59;1.260759830e+00;1.333206058e+00;1.333206058e+00;1.333205223e+00;8.708320618e+00;1.002622890e+01;1.006192970e+01;1.006645012e+01;1.006875896e+01;4.872667789e-01;8.787876969e+00;9.547394312e+04;2.784517172e+01
2021-03-15T11:22:59;1.394370317e+00;1.731707811e+00;1.939876199e+00;1.981509089e+00;9.069996834e+00;1.081042576e+01;1.111155701e+01;1.116962814e+01;1.117955208e+01;5.594404936e-01;8.481770762e+00;9.547942509e+04;2.867594020e+01
2021-03-15T11:27:59;1.520205855e+00;1.820592642e+00;1.993004799e+00;2.027485371e+00;1.003556442e+01;1.185894871e+01;1.211869812e+01;1.216810417e+01;1.217699432e+01;5.652072430e-01;8.368111333e+00;9.548535284e+04;2.921932628e+01
