Software version: 0.4.2
Software UUID: 0xc75c8276
Hardware UUID: 0xbe90f3bf
SPS30 serial number: 6F5BAC226EB9E8CE
SPS30 firmware version: 2.2
SPS30 SHDLC version: 2.0
SPS30 Hardware revision: 7
Timestamp;PM1.0 [ug/m^3];PM2.5 [ug/m^3];PM4.0 [ug/m^3];PM10.0 [ug/m^3];PN0.5 [#/cm^3];PN1.0 [#/cm^3];PN2.5 [#/cm^3];PN4.0 [#/cm^3];PN10.0 [#/cm^3];Typical Particle Size [um];Temperature [degC];Pressure [Pa];Humidity [%]
2021-03-15T10:27:37;1.419701338e+00;1.674816489e+00;1.815260768e+00;1.843352914e+00;9.637902260e+00;1.112244225e+01;1.131915283e+01;1.135712624e+01;1.136409092e+01;6.473484039e-01;1.545196723e+01;9.547762669e+04;2.263171728e+01
2021-03-15T10:32:37;1.116495013e+00;1.180651307e+00;1.180650473e+00;1.180652142e+00;7.890590191e+00;8.890130997e+00;8.910573959e+00;8.913807869e+00;8.915553093e+00;4.888939857e-01;1.445668530e+01;9.546715447e+04;2.364508603e+01
2021-03-15T10:37:37;1.095799208e+00;1.158766389e+00;1.158765554e+00;1.158767223e+00;7.744327545e+00;8.725339890e+00;8.745404243e+00;8.748578072e+00;8.750291824e+00;4.588476419e-01;1.349206744e+01;9.546127818e+04;2.528976490e+01
2021-03-15T10:42:37;8.284980059e-01;8.761054277e-01;8.761048317e-01;8.761060238e-01;5.855233192e+00;6.596944809e+00;6.612114906e+00;6.614514351e+00;6.615809917e+00;5.071148872e-01;1.252171257e+01;9.545278349e+04;2.878742342e+01
2021-03-15T10:47:37;1.098369241e+00;1.161484122e+00;1.161483288e+00;1.161484957e+00;7.762490749e+00;8.745803833e+00;8.765915871e+00;8.769097328e+00;8.770813942e+00;5.043671131e-01;1.149134067e+01;9.545463872e+04;2.676132494e+01
2021-03-15T10:52:36;1.271191716e+00;1.344237328e+00;1.344236374e+00;1.344238281e+00;8.983876228e+00;1.012190914e+01;1.014518452e+01;1.014886665e+01;1.015085411e+01;4.958570004e-01;1.095141391e+01;9.545593188e+04;2.733001083e+01
2021-03-15T10:57:36;1.405306697e+00;2.002189398e+00;2.419902563e+00;2.503448725e+00;8.755302429e+00;1.064855576e+01;1.118203163e+01;1.128681183e+01;1.130312252e+01;7.144767046e-01;1.099675359e+01;9.545306220e+04;2.760594597e+01
2021-03-15T11:02:36;1.584865093e+00;2.181546926e+00;2.590749502e+00;2.672592640e+00;1.004826736e+01;1.208932590e+01;1.261574173e+01;1.271899128e+01;1.273529434e+01;6.969891191e-01;1.071162490e+01;9.545948316e+04;3.047118926e+01
2021-03-15T11:07:36;1.275203466e+00;1.631182909e+00;1.859979868e+00;1.905740738e+00;8.367870331e+00;9.857391357e+00;1.015884972e+01;1.021770573e+01;1.022743034e+01;7.034330368e-01;1.093768430e+01;9.544906634e+04;3.025241372e+01
2021-03-15T11:12:36;1.936152697e+00;2.115895510e+00;2.171322584e+00;2.182412386e+00;1.352724361e+01;1.534486485e+01;1.544769001e+01;1.546666145e+01;1.547156048e+01;5.929794312e-01;1.051813382e+01;9.544863767e+04;2.929495056e+01
2021-03-15T11:17:36;1.425708652e+00;2.141442776e+00;2.654397011e+00;2.756989956e+00;8.631264687e+00;1.068760014e+01;1.133721733e+01;1.146501923e+01;1.148457909e+01;8.069037199e-01;1.005963190e+01;9.544242862e+04;2.883065956e+01
2021-03-15T11:22:36;1.292928338e+00;1.559375286e+00;1.714887738e+00;1.745991468e+00;8.699527740e+00;1.009348392e+01;1.030618763e+01;1.034742641e+01;1.035470200e+01;6.709159613e-01;9.511092980e+00;9.544380088e+04;3.100496191e+01
2021-03-15T11:27:36;1.265758753e+00;1.338492155e+00;1.338491201e+00;1.338493109e+00;8.945480347e+00;1.007864857e+01;1.010182571e+01;1.010549164e+01;1.010747051e+01;4.949404001e-01;9.308025873e+00;9.545054483e+04;2.931413290e+01
2021-03-15T11:32:36;1.941121578e+00;2.333485126e+00;2.560759306e+00;2.606217146e+00;1.307839108e+01;1.516176128e+01;1.547356319e+01;1.553398037e+01;1.554469395e+01;6.297860146e-01;9.039186165e+00;9.544626881e+04;2.934207545e+01
2021-03-15T11:37:36;1.424255729e+00;1.506096721e+00;1.506095648e+00;1.506097794e+00;1.006562424e+01;1.134068680e+01;1.136676502e+01;1.137089062e+01;1.137311649e+01;4.492702484e-01;8.950743825e+00;9.545052082e+04;2.991756403e+01
